p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	0.851142745162405	0.97	0.674	0	0	Cd83
0	0.793846294219675	0.796	0.463	0	0	Tnf
0	0.776255016995395	0.9	0.716	0	0	Ccl4
0	0.744388071438773	0.812	0.459	0	0	Il1a
0	-0.701628901935588	0.184	0.387	0	0	Cd44
0	-0.750772876225405	0.058	0.252	0	0	F13a1
0	-0.763199769986945	0.131	0.319	0	0	Ms4a7
0	-0.785655662487268	0.042	0.269	0	0	Clec4d
0	-0.803305266593643	0.057	0.245	0	0	Clec4n
0	-0.824779147003178	0.052	0.255	0	0	Cd24a
0	-0.998368598821437	0.359	0.525	0	0	Anxa2
0	-1.05261495036422	0.439	0.59	0	0	Msrb1
0	-1.09211302894391	0.038	0.212	0	0	AA467197
0	-1.09371180461245	0.515	0.615	0	0	Vim
0	-1.13906767744685	0.154	0.379	0	0	S100a10
0	-1.63897989584684	0.138	0.349	0	0	Thbs1
0	-1.68570732337259	0.16	0.437	0	0	S100a11
0	-1.79679663726197	0.448	0.572	0	0	Lgals3
0	-2.03534195371336	0.16	0.412	0	0	S100a6
1.0141797636268e-291	-1.21874961877065	0.501	0.602	3.02215427763151e-287	0	Lgals1
8.71145594365402e-284	-0.98845030006822	0.127	0.3	2.59592675664946e-279	0	S100a4
4.75359811715169e-271	-0.837059554296241	0.381	0.525	1.41652470293003e-266	0	Tgfbi
3.78428556135796e-265	-0.852496640042276	0.47	0.586	1.12767925442906e-260	0	Ifitm2
9.16878669934585e-250	-1.27416198014802	0.027	0.168	2.73220674853807e-245	0	Chil3
1.71317773924992e-246	-0.776076992439983	0.561	0.636	5.10509834519084e-242	0	Fxyd5
2.23135125402807e-226	-1.72609414229813	0.051	0.191	6.64920360187826e-222	0	Arg1
1.65342037875981e-222	-1.49630641437532	0.457	0.556	4.92702738666637e-218	0	Wfdc17
4.75413072060474e-214	-0.979623868304928	0.476	0.582	1.41668341343301e-209	0	Ifitm3
4.027433127872e-189	-0.820685782571994	0.027	0.143	1.20013479777458e-184	0	Slpi
3.22183444028548e-149	-1.03689670831231	0.054	0.158	9.6007444486067e-145	0	Plac8
4.38640253961879e-144	-1.13623187687562	0.474	0.538	1.307104092781e-139	0	Crip1
4.26290889337897e-130	-3.13954474593095	0.314	0.424	1.270304221138e-125	0	S100a8
6.72498887604103e-130	-0.968803900325335	0.047	0.141	2.00397943517147e-125	0	Ifitm1
2.12559965216557e-123	-0.797822728230077	0.779	0.759	6.33407440348818e-119	0	Tmsb10
1.95896841812426e-120	-1.29963583020726	0.246	0.348	5.83752998916849e-116	0	Pf4
6.50621471352242e-114	-1.39453581871784	0.939	0.882	1.93878692248255e-109	0	Lyz2
3.00542992938526e-86	-1.55382492161596	0.198	0.274	8.95588064657514e-82	0	Gpnmb
1.55237620133989e-70	-0.747174983884406	0.885	0.828	4.62592584237273e-66	0	Cstb
6.20665191929009e-56	-1.47104453678507	0.524	0.404	1.84952020542925e-51	0	Cd74
4.32678569015482e-47	-1.11760476737143	0.065	0.115	1.28933886780923e-42	0	Lcn2
1.05244206980903e-39	-1.2931260168363	0.061	0.105	3.13617212382394e-35	0	H2-Aa
7.34687152081668e-34	-1.32014959255296	0.598	0.585	2.18929424448816e-29	0	Fabp5
9.27495860139625e-32	-2.01899768784844	0.066	0.105	2.76384491363007e-27	0	Retnlg
1.39369597383263e-30	-3.18661478210937	0.289	0.329	4.15307463242386e-26	0	S100a9
7.58380659426334e-20	-0.847107054416915	0.89	0.822	2.25989852702453e-15	0	Srgn
2.77475680524481e-19	-0.778642535119519	0.719	0.725	8.26849780394901e-15	0	Spp1
0	0.908412155820453	0.929	0.646	0	1	P2ry12
0	0.816865877164414	0.753	0.42	0	1	Crybb1
0	0.763061585976348	0.859	0.49	0	1	Siglech
0	0.735656465955417	0.983	0.734	0	1	Sparc
0	0.694500977863172	0.931	0.831	0	1	Jun
0	-0.725949957806693	0.865	0.923	0	1	Prdx1
0	-0.740968127651606	0.323	0.618	0	1	Prdx6
0	-0.742213836590133	0.331	0.659	0	1	Anxa5
0	-0.752315838999146	0.032	0.248	0	1	F13a1
0	-0.764878725727113	0.315	0.662	0	1	Tagln2
0	-0.764906054759011	0.155	0.498	0	1	Plaur
0	-0.778676427849277	0.12	0.368	0	1	Hilpda
0	-0.781237319653692	0.079	0.318	0	1	Ms4a7
0	-0.792035188231399	0.014	0.265	0	1	Clec4d
0	-0.795950071369944	0.034	0.242	0	1	Clec4n
0	-0.796938786517794	0.069	0.393	0	1	Cd44
0	-0.801548732884582	0.558	0.801	0	1	Txn1
0	-0.821715011335917	0.093	0.476	0	1	Iqgap1
0	-0.825388354498264	0.019	0.253	0	1	Cd24a
0	-0.8289019475512	1	1	0	1	Ftl1
0	-0.894137948988441	0.194	0.456	0	1	Fn1
0	-0.940943877107667	0.278	0.632	0	1	Capg
0	-0.945525844678568	0.497	0.773	0	1	Plin2
0	-0.956814343311163	0.245	0.535	0	1	Tgfbi
0	-0.967970472102778	0.612	0.778	0	1	Tmsb10
0	-1.04477434423417	0.056	0.302	0	1	S100a4
0	-1.04945211259683	0.169	0.431	0	1	Il1b
0	-1.05462942440068	1	1	0	1	Fth1
0	-1.07282793901583	0.263	0.605	0	1	Ifitm2
0	-1.15506980968249	0.084	0.379	0	1	S100a10
0	-1.17198016164781	0.163	0.541	0	1	Anxa2
0	-1.17589661395413	0.256	0.605	0	1	Msrb1
0	-1.24960116298105	0.62	0.859	0	1	Cstb
0	-1.2594219013848	0.231	0.67	0	1	Fxyd5
0	-1.27865161882034	0.229	0.605	0	1	Ifitm3
0	-1.3710824471442	0.179	0.451	0	1	Cxcl2
0	-1.48694169030128	0.24	0.641	0	1	Vim
0	-1.49639812798587	0.219	0.563	0	1	Crip1
0	-1.56233987240524	0.57	0.859	0	1	Srgn
0	-1.59836196256115	0.364	0.763	0	1	Spp1
0	-1.64385602865248	0.374	0.61	0	1	Fabp5
0	-1.66585012139108	0.07	0.35	0	1	Thbs1
0	-1.70899860177879	0.242	0.627	0	1	Lgals1
0	-1.71458790763578	0.077	0.437	0	1	S100a11
0	-1.72430824326347	0.059	0.287	0	1	Gpnmb
0	-1.78491386226856	0.754	0.904	0	1	Lyz2
0	-1.7904076442721	0.208	0.58	0	1	Wfdc17
0	-2.08956203268434	0.064	0.414	0	1	S100a6
0	-2.29110337195481	0.163	0.599	0	1	Lgals3
3.76883396126442e-297	-1.10180753760677	0.016	0.209	1.12307483211718e-292	1	AA467197
5.51539298529017e-295	-1.44590669037386	0.134	0.357	1.64353195568662e-290	1	Pf4
6.49747154778116e-268	-1.77308229908063	0.014	0.19	1.93618154652331e-263	1	Arg1
1.2488699527645e-246	-0.728857156134232	0.25	0.467	3.72150757224294e-242	1	Ifi27l2a
3.96438175441567e-240	-3.12667182028642	0.213	0.431	1.18134611899833e-235	1	S100a8
4.88250364838038e-216	-1.25614458656051	0.016	0.165	1.45493726218087e-211	1	Chil3
2.51310785718342e-213	-0.947524871157007	0.052	0.219	7.48881010362086e-209	1	Ccl7
1.27257674639207e-192	-0.724056884926556	0.768	0.847	3.79215144657372e-188	1	Cd14
6.69451865488398e-185	-0.755760679487212	0.337	0.523	1.99489961396888e-180	1	Ccl2
4.01204495253801e-177	-0.809938179001577	0.014	0.14	1.1955492754068e-172	1	Slpi
7.47929083068633e-162	-1.55134043129171	0.482	0.637	2.22875387463622e-157	1	Ccl6
3.19434246663658e-158	-0.958454500615771	0.021	0.141	9.51882111633033e-154	1	Ifitm1
1.7406857745435e-144	-0.787732714096883	0.548	0.693	5.18706953956219e-140	1	Hmox1
7.2787843394178e-123	-1.00122134730334	0.048	0.156	2.16900494530311e-118	1	Plac8
1.55269544880188e-110	-1.74052466087187	0.289	0.434	4.62687716788473e-106	1	Cd74
9.24734982481594e-108	-3.14830575819119	0.2	0.337	2.7556177742969e-103	1	S100a9
5.57204090882005e-95	-1.31369810738472	0.091	0.198	1.66041247041929e-90	1	H2-Ab1
1.03062359870812e-91	-1.27434856463859	0.027	0.107	3.07115526179031e-87	1	H2-Aa
8.97072223320948e-88	-1.10922170784297	0.035	0.116	2.67318551827409e-83	1	Lcn2
1.42085079859682e-84	-0.888352198794808	0.484	0.594	4.23399329473866e-80	1	Ccl9
4.39703357060386e-61	-1.97234217668749	0.041	0.106	1.31027203370424e-56	1	Retnlg
0	0.764823339997248	1	0.995	0	2	Cst3
0	0.74644139846797	1	0.818	0	2	Cd81
0	0.731511318273349	0.981	0.75	0	2	Olfml3
0	-0.71628471856277	0.05	0.309	0	2	Adam8
0	-0.773537632937006	0.082	0.39	0	2	Cd44
0	-0.774438558040632	0.571	0.799	0	2	Txn1
0	-0.775163113490563	0.024	0.263	0	2	Clec4d
0	-0.794234690181045	0.104	0.473	0	2	Iqgap1
0	-0.802618946289733	0.026	0.242	0	2	Clec4n
0	-0.807439715880804	0.038	0.25	0	2	Cd24a
0	-0.807461134110357	0.262	0.535	0	2	Dab2
0	-0.902444127268157	0.054	0.32	0	2	Ms4a7
0	-0.946762624342845	0.36	0.593	0	2	Ifitm2
0	-0.966434861181387	0.406	0.65	0	2	Fxyd5
0	-0.974490650507179	0.27	0.532	0	2	Tgfbi
0	-0.988597363830921	0.521	0.769	0	2	Plin2
0	-1.04460989159811	0.737	0.846	0	2	Cstb
0	-1.1361947624822	0.285	0.601	0	2	Msrb1
0	-1.13901906700728	0.194	0.536	0	2	Anxa2
0	-1.15660703236352	0.106	0.376	0	2	S100a10
0	-1.33663856080524	0.325	0.551	0	2	Crip1
0	-1.39777029772721	0.367	0.627	0	2	Vim
0	-1.5310737761875	0.386	0.611	0	2	Lgals1
0	-1.64501969005414	0.099	0.346	0	2	Thbs1
0	-1.68238665160401	0.111	0.432	0	2	S100a11
0	-2.01835037483711	0.133	0.406	0	2	S100a6
0	-2.15789447830855	0.325	0.58	0	2	Lgals3
2.99691056117617e-301	-0.741741872386165	0.04	0.247	8.93049378124886e-297	2	F13a1
2.64543616835145e-300	-0.746497028538421	0.414	0.617	7.88313523807049e-296	2	Capg
9.7398983485852e-287	-1.62748667472541	0.377	0.561	2.9023923088949e-282	2	Wfdc17
1.38594930745494e-275	-1.52741695853545	0.141	0.356	4.12999034128499e-271	2	Pf4
4.67287008351786e-258	-0.73179291955714	0.152	0.364	1.39246855618749e-253	2	Hilpda
1.87607938776471e-249	-0.959436487800256	0.102	0.297	5.59052896760006e-245	2	S100a4
1.46328564529836e-247	-1.08509580591892	0.03	0.207	4.36044489442457e-243	2	AA467197
3.62983763888142e-237	-1.18865683977039	0.751	0.839	1.08165531801028e-232	2	Srgn
8.99779033251747e-225	-0.852905309947011	0.257	0.448	2.68125154118688e-220	2	Fn1
5.83136434059326e-210	-1.67440888255802	0.463	0.6	1.73768825985338e-205	2	Fabp5
9.89229403441487e-188	-0.858096747541274	0.658	0.772	2.94780469931529e-183	2	Tmsb10
